Block,Tank,Pred,Hatch,Res,Age.DPO,Age.FromEmergence,SVL.initial,Tail.initial,SVL.final,Mass.final,Resorb.days,NumAlive,NumKilled
1,10,C,L,Lo,64.90909091,30.90909091,18.86136364,4.893181818,19.24772727,0.397954545,3.704545455,44,6
2,18,C,L,Lo,90.56410256,56.56410256,18.22307692,5.848717949,18.37435897,0.37025641,4.974358974,39,11
3,31,C,L,Lo,115.8095238,81.80952381,18.86666667,6.530952381,19.21904762,0.402619048,4.857142857,42,8
4,41,C,L,Lo,104.4666667,70.46666667,17.61,5.496666667,17.84333333,0.327,4.8,30,20
5,57,C,L,Lo,87.88636364,53.88636364,17.47727273,5.613636364,17.74318182,0.325454545,4.363636364,44,6
6,69,C,L,Lo,71.76744186,37.76744186,18.06511628,6.104651163,18.55116279,0.349302326,4.534883721,43,7
7,75,C,L,Lo,99.25641026,65.25641026,16.61794872,5.594871795,17.07692308,0.281025641,5.051282051,39,11
8,88,C,L,Lo,75.72093023,41.72093023,17.80232558,5.402325581,17.91627907,0.339767442,4.069767442,43,7
1,7,NL,L,Lo,67.6744186,33.6744186,18.98139535,5.96744186,19.28139535,0.409069767,4.093023256,43,7
2,14,NL,L,Lo,100.2727273,66.27272727,17.80227273,5.338636364,18.04090909,0.346818182,4.568181818,44,6
3,29,NL,L,Lo,140.902439,106.902439,18.05365854,6.129268293,18.23902439,0.338780488,5.536585366,41,9
5,60,NL,L,Lo,49.0625,15.0625,17.95625,5.29375,17.875,0.3525,3.375,16,34
1,4,L,L,Lo,56.92307692,22.92307692,18.82692308,4.634615385,19.11538462,0.382307692,3.653846154,26,24
2,20,L,L,Lo,82.16216216,48.16216216,19.01351351,5.713513514,19.41351351,0.398648649,4.459459459,37,13
3,32,L,L,Lo,50.46153846,16.46153846,20.05384615,6.761538462,20.47692308,0.466923077,4.461538462,13,37
4,44,L,L,Lo,49.11111111,15.11111111,21,7.255555556,21.53333333,0.63,5,9,41
5,56,L,L,Lo,53.88888889,19.88888889,17.70277778,4.411111111,17.99444444,0.33,4.027777778,36,14
6,62,L,L,Lo,61.65217391,27.65217391,19.20869565,5.686956522,19.51304348,0.423043478,4.260869565,23,27
7,82,L,L,Lo,63.84210526,29.84210526,18.95789474,5.373684211,19.27368421,0.396842105,4.052631579,19,31
8,96,L,L,Lo,44.90909091,10.90909091,21.58181818,7.218181818,21.94545455,0.641818182,5.090909091,11,39
